domain,estimand,detection_profile,action_delay_fraction,residual_contact_multiplier,system_family,effect,source_artifact,observation_profile,method,rewiring_fraction,epidemic_model,disease_regime,mapping,contrast,endpoint
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.0,domestic_sheep_sirtrack,0.0010416666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.25,domestic_sheep_sirtrack,0.0010416666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.5,domestic_sheep_sirtrack,-0.0010416666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.0,domestic_sheep_sirtrack,0.0010416666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.25,domestic_sheep_sirtrack,0.0010416666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.5,domestic_sheep_sirtrack,-0.0010416666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.0,domestic_sheep_sirtrack,0.003125,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.25,domestic_sheep_sirtrack,0.0041666666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.5,domestic_sheep_sirtrack,0.00625,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.0,domestic_sheep_sirtrack,0.003125,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.25,domestic_sheep_sirtrack,0.0041666666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.5,domestic_sheep_sirtrack,0.0072916666666666,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.0,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.25,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.5,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.0,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.25,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.5,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.0,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.25,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.5,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.0,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.25,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.5,guinea_baboons_sociopatterns,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.0,linked_wytham_songbird_family,0.0010517731766315,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.25,linked_wytham_songbird_family,0.001139841977993,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.5,linked_wytham_songbird_family,-0.0007875444556378,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.0,linked_wytham_songbird_family,0.0010517731766315,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.25,linked_wytham_songbird_family,0.001139841977993,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.5,linked_wytham_songbird_family,-0.0007875444556378,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
